timestamp,baseline_hrv,hrv,text
2025-08-20T10:00:00Z,75,65,"I think I can handle this, but I feel nervous."
2025-08-20T10:05:00Z,72,74,I feel confident about the next step.
2025-08-20T10:10:00Z,76,60,Maybe we should wait and double-check.
2025-08-20T10:15:00Z,80,79,I’m certain this is the right direction.
2025-08-20T10:20:00Z,77,65,Not sure if this will work out as planned.
2025-08-20T10:25:00Z,74,75,Everything feels balanced and steady.
2025-08-20T10:30:00Z,73,68,I might need more time to prepare.
2025-08-20T10:35:00Z,78,82,I feel strong and ready to go.
2025-08-20T10:40:00Z,76,70,I’m hesitant — maybe we should slow down.
2025-08-20T10:45:00Z,75,77,I feel focused and aligned with the goal.
